Sample_Name,Run,Donor,Treatment,Timepoint,Cellranger_counts_h5,Dropped
Etop_250nM_rep2_day4,A,D197,Etop 250nM,day4,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Etop_250nM_rep2_day4/outs/molecule_info.h5,
Etop_250nM_rep3_day4,B,D197,Etop 250nM,day4,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0382_BHFKT2DMX2/Etop_250nM_rep3_day4/outs/molecule_info.h5,
Etop_250nM_rep1_day10,A,D197,Etop 250nM,day10,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Etop_250nM_rep1_day10/outs/molecule_info.h5,
Etop_250nM_rep2_day10,A,D197,Etop 250nM,day10,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Etop_250nM_rep2_day10/outs/molecule_info.h5,
Etop_250nM_rep3_day10,B,D197,Etop 250nM,day10,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0382_BHFKT2DMX2/Etop_250nM_rep3_day10/outs/molecule_info.h5,
D8_D209_Activated-Tcells,DE,D209,Activated-Tcells,day8,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D8_D209_Activated-Tcells/outs/molecule_info.h5,
D3_D651_Nucleofection-only,DE,D651,Nucleofection-only,day3,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D3_D651_Nucleofection-only/outs/molecule_info.h5,
D4_D209_Nucleofection-only,DE,D209,Nucleofection-only,day4,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D4_D209_Nucleofection-only/outs/molecule_info.h5,
D8_D651_Cas9-B2M-TRAC-DKO,DE,D651,Cas9-B2M-TRAC-DKO,day8,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D8_D651_Cas9-B2M-TRAC-DKO/outs/molecule_info.h5,
D8_D209_Nucleofection-only,DE,D209,Nucleofection-only,day8,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D8_D209_Nucleofection-only/outs/molecule_info.h5,
D4_D651_Cas9-B2M-TRAC-DKO,DE,D651,Cas9-B2M-TRAC-DKO,day4,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D4_D651_Cas9-B2M-TRAC-DKO/outs/molecule_info.h5,
D3_D651_Activated-Tcells,DE,D651,Activated-Tcells,day3,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D3_D651_Activated-Tcells/outs/molecule_info.h5,
D4_D209_Activated-Tcells,DE,D209,Activated-Tcells,day4,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D4_D209_Activated-Tcells/outs/molecule_info.h5,
D3_D209_Nucleofection-only,DE,D209,Nucleofection-only,day3,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D3_D209_Nucleofection-only/outs/molecule_info.h5,
D3_D651_Cas9-B2M-TRAC-DKO,DE,D651,Cas9-B2M-TRAC-DKO,day3,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D3_D651_Cas9-B2M-TRAC-DKO/outs/molecule_info.h5,
D3_D209_Activated-Tcells,DE,D209,Activated-Tcells,day3,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D3_D209_Activated-Tcells/outs/molecule_info.h5,
D4_D651_Nucleofection-only,DE,D651,Nucleofection-only,day4,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D4_D651_Nucleofection-only/outs/molecule_info.h5,
D8_D651_Activated-Tcells,DE,D651,Activated-Tcells,day8,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D8_D651_Activated-Tcells/outs/molecule_info.h5,
D8_D651_Nucleofection-only,DE,D651,Nucleofection-only,day8,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D8_D651_Nucleofection-only/outs/molecule_info.h5,
D4_D651_Activated-Tcells,DE,D651,Activated-Tcells,day4,/efs/gcorsi/cellranger_runs/260422_Tcell_writers_aneuploidy_231206_rerun/D4_D651_Activated-Tcells/outs/molecule_info.h5,
